,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,Source_Names,Destination_Names
0,73730.0,857138,calls,713701,1432007047,2015-05-19 03:44:07,05/19/2015,05/2015,5,2015,Richard Fox,Jane Tyler
7,106929.0,857138,calls,713989,1432291109,2015-05-22 10:38:29,05/22/2015,05/2015,5,2015,Richard Fox,Mabel Ramirez
9,106949.0,857138,calls,1963161,1432291288,2015-05-22 10:41:28,05/22/2015,05/2015,5,2015,Richard Fox,Jimmy Llewellyn
12,153050.0,857138,emails,713489,1432337723,2015-05-22 23:35:23,05/22/2015,05/2015,5,2015,Richard Fox,Lavona Smola
18,131079.0,857138,calls,713876,1432498847,2015-05-24 20:20:47,05/24/2015,05/2015,5,2015,Richard Fox,Alex Wilkins
21,134913.0,857138,calls,1981017,1432531061,2015-05-25 05:17:41,05/25/2015,05/2015,5,2015,Richard Fox,Terrilyn Overkamp
24,212299.0,857138,emails,714191,1432708337,2015-05-27 06:32:17,05/27/2015,05/2015,5,2015,Richard Fox,Lashay Ruprecht
26,216171.0,857138,emails,713020,1432731845,2015-05-27 13:04:05,05/27/2015,05/2015,5,2015,Richard Fox,Kathi Montcalm
832,158572.0,712948,calls,857138,1432731926,2015-05-27 13:05:26,05/27/2015,05/2015,5,2015,Shane Labella,Richard Fox
1394,181152.0,698163,calls,704389,1432922776,2015-05-29 18:06:16,05/29/2015,05/2015,5,2015,Hassie Anzalone,Trista Laudermilk
836,193253.0,713947,calls,857138,1433024281,2015-05-30 22:18:01,05/30/2015,05/2015,5,2015,Evangelina Herbold,Richard Fox
684,267912.0,698163,emails,713307,1433050311,2015-05-31 05:31:51,05/31/2015,05/2015,5,2015,Hassie Anzalone,David Phillips
1662,279106.0,712686,emails,698163,1433118510,2015-06-01 00:28:30,06/01/2015,06/2015,6,2015,Tyler Mann,Hassie Anzalone
1663,219658.0,713639,calls,698163,1433245453,2015-06-02 11:44:13,06/02/2015,06/2015,6,2015,Juan Walsh,Hassie Anzalone
52,299906.0,698163,emails,1376868,1433247293,2015-06-02 12:14:53,06/02/2015,06/2015,6,2015,Hassie Anzalone,Timothy Gibson
1664,234187.0,713224,calls,698163,1433365125,2015-06-03 20:58:45,06/03/2015,06/2015,6,2015,Phebe Corlew,Hassie Anzalone
842,327627.0,712188,emails,857138,1433414934,2015-06-04 10:48:54,06/04/2015,06/2015,6,2015,Dionna Camara,Richard Fox
406,333983.0,698163,emails,713639,1433453461,2015-06-04 21:31:01,06/04/2015,06/2015,6,2015,Hassie Anzalone,Juan Walsh
848,408054.0,713307,emails,857138,1433903593,2015-06-10 02:33:13,06/10/2015,06/2015,6,2015,David Phillips,Richard Fox
1666,414023.0,713701,emails,698163,1433939571,2015-06-10 12:32:51,06/10/2015,06/2015,6,2015,Jane Tyler,Hassie Anzalone
41,419342.0,857138,emails,712620,1433971778,2015-06-10 21:29:38,06/10/2015,06/2015,6,2015,Richard Fox,Ivory Soderling
13,435901.0,857138,emails,713489,1434070426,2015-06-12 00:53:46,06/12/2015,06/2015,6,2015,Richard Fox,Lavona Smola
1668,319423.0,713919,calls,698163,1434071783,2015-06-12 01:16:23,06/12/2015,06/2015,6,2015,Millie Reed,Hassie Anzalone
852,338349.0,714152,calls,857138,1434228929,2015-06-13 20:55:29,06/13/2015,06/2015,6,2015,Sean McDonald,Richard Fox
46,361981.0,857138,calls,715014,1434421329,2015-06-16 02:22:09,06/16/2015,06/2015,6,2015,Richard Fox,Lawrence Berry
48,373031.0,857138,calls,712531,1434512374,2015-06-17 03:39:34,06/17/2015,06/2015,6,2015,Richard Fox,Loretta Castillo
49,399007.0,857138,calls,1376868,1434723695,2015-06-19 14:21:35,06/19/2015,06/2015,6,2015,Richard Fox,Timothy Gibson
1956,431010.0,714929,calls,735202,1434985474,2015-06-22 15:04:34,06/22/2015,06/2015,6,2015,Marylin Hanenberger,Sid Demmy
850,597429.0,713701,emails,857138,1435035880,2015-06-23 05:04:40,06/23/2015,06/2015,6,2015,Jane Tyler,Richard Fox
1404,614345.0,698163,emails,709799,1435138867,2015-06-24 09:41:07,06/24/2015,06/2015,6,2015,Hassie Anzalone,Stephen Fleming
66,705732.0,857138,emails,711648,1435685954,2015-06-30 17:39:14,06/30/2015,06/2015,6,2015,Richard Fox,Mable Rosenfeldt
1408,517676.0,698163,calls,719118,1435691284,2015-06-30 19:08:04,06/30/2015,06/2015,6,2015,Hassie Anzalone,Inez Phillips
870,578059.0,714557,calls,857138,1436180917,2015-07-06 11:08:37,07/06/2015,07/2015,7,2015,Glen Richards,Richard Fox
10,585612.0,857138,calls,1963161,1436239189,2015-07-07 03:19:49,07/07/2015,07/2015,7,2015,Richard Fox,Jimmy Llewellyn
875,648021.0,697020,calls,857138,1436745709,2015-07-13 00:01:49,07/13/2015,07/2015,7,2015,Estela Dewing,Richard Fox
440,890795.0,735202,emails,713284,1436781592,2015-07-13 09:59:52,07/13/2015,07/2015,7,2015,Sid Demmy,Hortensia Dahme
76,656019.0,857138,calls,716478,1436808327,2015-07-13 17:25:27,07/13/2015,07/2015,7,2015,Richard Fox,Leann Thresher
79,933071.0,857138,emails,718651,1437031995,2015-07-16 07:33:15,07/16/2015,07/2015,7,2015,Richard Fox,Josie Lee
1419,730328.0,698163,calls,712733,1437412605,2015-07-20 17:16:45,07/20/2015,07/2015,7,2015,Hassie Anzalone,Callie Parsons
77,1017090.0,857138,emails,716478,1437527441,2015-07-22 01:10:41,07/22/2015,07/2015,7,2015,Richard Fox,Leann Thresher
1953,1104060.0,713919,emails,735202,1438044410,2015-07-28 00:46:50,07/28/2015,07/2015,7,2015,Millie Reed,Sid Demmy
1420,810668.0,698163,calls,712733,1438064998,2015-07-28 06:29:58,07/28/2015,07/2015,7,2015,Hassie Anzalone,Callie Parsons
92,859378.0,857138,calls,713979,1438461902,2015-08-01 20:45:02,08/01/2015,08/2015,8,2015,Richard Fox,Diane Cuti
14,1246877.0,698163,emails,713489,1438879083,2015-08-06 16:38:03,08/06/2015,08/2015,8,2015,Hassie Anzalone,Lavona Smola
97,930956.0,857138,calls,713767,1439037500,2015-08-08 12:38:20,08/08/2015,08/2015,8,2015,Richard Fox,Yulanda Maymon
1695,941270.0,713563,calls,698163,1439121947,2015-08-09 12:05:47,08/09/2015,08/2015,8,2015,Maia Ballerini,Hassie Anzalone
900,976013.0,739008,calls,857138,1439403442,2015-08-12 18:17:22,08/12/2015,08/2015,8,2015,Kate Collier,Richard Fox
50,1017085.0,857138,calls,1376868,1439734154,2015-08-16 14:09:14,08/16/2015,08/2015,8,2015,Richard Fox,Timothy Gibson
106,1508419.0,857138,emails,706998,1440414299,2015-08-24 11:04:59,08/24/2015,08/2015,8,2015,Richard Fox,Tommye Minge
1,1508839.0,857138,emails,713701,1440416697,2015-08-24 11:44:57,08/24/2015,08/2015,8,2015,Richard Fox,Jane Tyler
204,1533082.0,1981017,emails,1690582,1440558225,2015-08-26 03:03:45,08/26/2015,08/2015,8,2015,Terrilyn Overkamp,Meryl Pastuch
833,1535714.0,712948,emails,857138,1440574004,2015-08-26 07:26:44,08/26/2015,08/2015,8,2015,Shane Labella,Richard Fox
1435,1644017.0,698163,emails,292073,1441206538,2015-09-02 15:08:58,09/02/2015,09/2015,9,2015,Hassie Anzalone,Wilhelmina Nybo
1984,1647185.0,713736,emails,735202,1441224559,2015-09-02 20:09:19,09/02/2015,09/2015,9,2015,Harvey Turner,Sid Demmy
2142,1674851.0,735202,emails,715152,1441386777,2015-09-04 17:12:57,09/04/2015,09/2015,9,2015,Sid Demmy,Lucile Jenkins
922,1252881.0,711815,calls,857138,1441625431,2015-09-07 11:30:31,09/07/2015,09/2015,9,2015,Mitchell Padilla,Richard Fox
116,1719090.0,857138,emails,661344,1441643637,2015-09-07 16:33:57,09/07/2015,09/2015,9,2015,Richard Fox,Tameka Vinton
208,1758582.0,1376868,emails,1690582,1441874757,2015-09-10 08:45:57,09/10/2015,09/2015,9,2015,Timothy Gibson,Meryl Pastuch
927,1801130.0,712795,emails,857138,1442122118,2015-09-13 05:28:38,09/13/2015,09/2015,9,2015,Cyril Dushaj,Richard Fox
841,1806646.0,713224,emails,857138,1442155281,2015-09-13 14:41:21,09/13/2015,09/2015,9,2015,Phebe Corlew,Richard Fox
2146,1815818.0,735202,emails,714748,1442208488,2015-09-14 05:28:08,09/14/2015,09/2015,9,2015,Sid Demmy,Jared Carter
1438,1841271.0,698163,emails,713725,1442355553,2015-09-15 22:19:13,09/15/2015,09/2015,9,2015,Hassie Anzalone,Palmer Kilborne
930,1346125.0,710636,calls,857138,1442374113,2015-09-16 03:28:33,09/16/2015,09/2015,9,2015,Cristi Precella,Richard Fox
2,1895374.0,857138,emails,713701,1442672101,2015-09-19 14:15:01,09/19/2015,09/2015,9,2015,Richard Fox,Jane Tyler
1468,1397170.0,1690582,calls,713563,1442785500,2015-09-20 21:45:00,09/20/2015,09/2015,9,2015,Meryl Pastuch,Maia Ballerini
1952,1414181.0,713701,calls,735202,1442923093,2015-09-22 11:58:13,09/22/2015,09/2015,9,2015,Jane Tyler,Sid Demmy
93,1424765.0,857138,calls,713979,1443008455,2015-09-23 11:40:55,09/23/2015,09/2015,9,2015,Richard Fox,Diane Cuti
935,1424767.0,715152,calls,857138,1443008482,2015-09-23 11:41:22,09/23/2015,09/2015,9,2015,Lucile Jenkins,Richard Fox
407,1443015.0,698163,calls,713639,1443153605,2015-09-25 04:00:05,09/25/2015,09/2015,9,2015,Hassie Anzalone,Juan Walsh
1441,1462431.0,698163,calls,714285,1443309104,2015-09-26 23:11:44,09/26/2015,09/2015,9,2015,Hassie Anzalone,Vernon Joseph
19,1475947.0,857138,calls,713876,1443416637,2015-09-28 05:03:57,09/28/2015,09/2015,9,2015,Richard Fox,Alex Wilkins
913,2089684.0,1981017,emails,857138,1443806384,2015-10-02 17:19:44,10/02/2015,10/2015,10,2015,Terrilyn Overkamp,Richard Fox
946,1543419.0,714007,calls,857138,1443950617,2015-10-04 09:23:37,10/04/2015,10/2015,10,2015,Kenneth Brooks,Richard Fox
949,2144232.0,713892,emails,857138,1444120733,2015-10-06 08:38:53,10/06/2015,10/2015,10,2015,Bernard Harper,Richard Fox
730,1575267.0,735202,calls,709611,1444203699,2015-10-07 07:41:39,10/07/2015,10/2015,10,2015,Sid Demmy,Marline Mcwatters
144,2243544.0,857138,emails,721312,1444694437,2015-10-13 00:00:37,10/13/2015,10/2015,10,2015,Richard Fox,Alethia Halmick
196,1639357.0,713639,calls,1690582,1444712550,2015-10-13 05:02:30,10/13/2015,10/2015,10,2015,Juan Walsh,Meryl Pastuch
1450,1670883.0,698163,calls,713947,1444961834,2015-10-16 02:17:14,10/16/2015,10/2015,10,2015,Hassie Anzalone,Evangelina Herbold
737,1700725.0,698163,calls,744038,1445196999,2015-10-18 19:36:39,10/18/2015,10/2015,10,2015,Hassie Anzalone,Nobuko Hannold
816,2333339.0,698163,emails,714046,1445216165,2015-10-19 00:56:05,10/19/2015,10/2015,10,2015,Hassie Anzalone,Adriene Carbonella
156,1788576.0,857138,calls,715477,1445896795,2015-10-26 21:59:55,10/26/2015,10/2015,10,2015,Richard Fox,Corinne Veatch
408,1808035.0,698163,calls,713639,1446052248,2015-10-28 17:10:48,10/28/2015,10/2015,10,2015,Hassie Anzalone,Juan Walsh
162,1865268.0,857138,calls,944354,1446507293,2015-11-02 23:34:53,11/02/2015,11/2015,11,2015,Richard Fox,Ferne Hards
167,1879449.0,857138,calls,1108217,1446616923,2015-11-04 06:02:03,11/04/2015,11/2015,11,2015,Richard Fox,Lindsy Henion
192,1880503.0,857138,calls,1690582,1446625263,2015-11-04 08:21:03,11/04/2015,11/2015,11,2015,Richard Fox,Meryl Pastuch
2371,2593879.0,786361,emails,1039322,1446723533,2015-11-05 11:38:53,11/05/2015,11/2015,11,2015,Sheilah Stachniw,Dylan Ballard
2497,1895265.0,1039322,calls,387200,1446742253,2015-11-05 16:50:53,11/05/2015,11/2015,11,2015,Dylan Ballard,Augusta Sharp
332,1900178.0,1690582,calls,175354,1446781133,2015-11-06 03:38:53,11/06/2015,11/2015,11,2015,Meryl Pastuch,Madeline Nindorf
2506,1902437.0,728286,calls,696047,1446798233,2015-11-06 08:23:53,11/06/2015,11/2015,11,2015,Kerstin Belveal,Jose Ringwald
219,2616254.0,1039322,emails,1690582,1446853133,2015-11-06 23:38:53,11/06/2015,11/2015,11,2015,Dylan Ballard,Meryl Pastuch
330,85.0,857138,meetings,175354,1446854633,2015-11-07 00:03:53,11/07/2015,11/2015,11,2015,Richard Fox,Madeline Nindorf
218,1915668.0,786361,calls,1690582,1446903653,2015-11-07 13:40:53,11/07/2015,11/2015,11,2015,Sheilah Stachniw,Meryl Pastuch
