,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,Source_Names,Destination_Names
8882600,86678.0,857138,3,1690582,1503972733,2017-08-29 02:12:13,08/29/2017,08/2017,8,2017,Richard Fox,Meryl Pastuch
24859487,86677.0,857138,3,981554,1503972733,2017-08-29 02:12:13,08/29/2017,08/2017,8,2017,Richard Fox,Sherrell Biebel
24859490,86679.0,1690582,3,981554,1503972733,2017-08-29 02:12:13,08/29/2017,08/2017,8,2017,Meryl Pastuch,Sherrell Biebel
24859519,80886.0,1108217,3,728286,1502172333,2017-08-08 06:05:33,08/08/2017,08/2017,8,2017,Lindsy Henion,Kerstin Belveal
24859547,87892.0,1690582,3,1847246,1504372733,2017-09-02 17:18:53,09/02/2017,09/2017,9,2017,Meryl Pastuch,Rosalia Larroque
25119985,45821.0,1108217,3,1600928,1489094988,2017-03-09 21:29:48,03/09/2017,03/2017,3,2017,Lindsy Henion,Ricky Miles
25119988,58448.0,1108217,3,1525352,1494510852,2017-05-11 13:54:12,05/11/2017,05/2017,5,2017,Lindsy Henion,Marian Ahmadi
25119993,72469.0,1108217,3,1971777,1499453714,2017-07-07 18:55:14,07/07/2017,07/2017,7,2017,Lindsy Henion,Loriann Gerard
25119996,100043.0,1108217,3,1685313,1507754885,2017-10-11 20:48:05,10/11/2017,10/2017,10,2017,Lindsy Henion,Craig Carr
25119998,110572.0,1108217,3,1627133,1510521942,2017-11-12 21:25:42,11/12/2017,11/2017,11,2017,Lindsy Henion,Chang Tulip
