,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,Source_Names,Destination_Names
210195,7571855,1172172,1,713563,1475174000,2016-09-29 18:33:20,09/29/2016,09/2016,9,2016,Angelic Graetz,Maia Ballerini
308756,6454985,1172172,0,1376868,1482437767,2016-12-22 20:16:07,12/22/2016,12/2016,12,2016,Angelic Graetz,Timothy Gibson
436098,11590416,1172172,1,713468,1497929003,2017-06-20 03:23:23,06/20/2017,06/2017,6,2017,Angelic Graetz,Herman Todd
791582,5915307,758683,1,713256,1465752805,2016-06-12 17:33:25,06/12/2016,06/2016,6,2016,Anjelica Hoger,Deann Gladwin
972510,12747888,1172172,1,713275,1504462321,2017-09-03 18:12:01,09/03/2017,09/2017,9,2017,Angelic Graetz,Velvet Tavana
973215,5738151,758683,0,713275,1476859795,2016-10-19 06:49:55,10/19/2016,10/2016,10,2016,Anjelica Hoger,Velvet Tavana
1042729,7690827,758683,0,714027,1492021989,2017-04-12 18:33:09,04/12/2017,04/2017,4,2017,Anjelica Hoger,Milton Stephens
1625903,12328570,758683,1,714237,1502097436,2017-08-07 09:17:16,08/07/2017,08/2017,8,2017,Anjelica Hoger,Erich Induddi
1916740,10103908,437025,0,714672,1510751120,2017-11-15 13:05:20,11/15/2017,11/2017,11,2017,Beth Wilensky,Ollie Norton
2226881,8424898,758683,0,714386,1497727980,2017-06-17 19:33:00,06/17/2017,06/2017,6,2017,Anjelica Hoger,Georgie Miyataki
2480002,9562567,437025,1,715219,1486466938,2017-02-07 11:28:58,02/07/2017,02/2017,2,2017,Beth Wilensky,Chase Hamilton
3803381,5878181,1172172,0,712302,1477949598,2016-10-31 21:33:18,10/31/2016,10/2016,10,2016,Angelic Graetz,Blake Porter
3973933,7888848,1172172,1,717171,1476971492,2016-10-20 13:51:32,10/20/2016,10/2016,10,2016,Angelic Graetz,Bianca Scharbrough
4326010,6906519,758683,1,709456,1471390966,2016-08-16 23:42:46,08/16/2016,08/2016,8,2016,Anjelica Hoger,Madelaine Becraft
4757671,5187321,437025,0,717794,1472558064,2016-08-30 11:54:24,08/30/2016,08/2016,8,2016,Beth Wilensky,Tijuana Sharpsteen
5819412,6946200,758683,0,717363,1486254939,2017-02-05 00:35:39,02/05/2017,02/2017,2,2017,Anjelica Hoger,Torie Wharton
6035572,8529036,437025,1,717115,1480608365,2016-12-01 16:06:05,12/01/2016,12/2016,12,2016,Beth Wilensky,Maritza Venuto
6549766,10696840,437025,1,712255,1492879984,2017-04-22 16:53:04,04/22/2017,04/2017,4,2017,Beth Wilensky,Deanna Getchius
6749048,10256787,1172172,1,716731,1490392491,2017-03-24 21:54:51,03/24/2017,03/2017,3,2017,Angelic Graetz,Jacinto Brohawn
11344055,8869707,160091,0,732897,1501177862,2017-07-27 17:51:02,07/27/2017,07/2017,7,2017,Cora Gonzalez,Cecilia Pichette
11344056,8880633,160091,0,732897,1501264262,2017-07-28 17:51:02,07/28/2017,07/2017,7,2017,Cora Gonzalez,Cecilia Pichette
11344057,9103495,160091,0,732897,1502992262,2017-08-17 17:51:02,08/17/2017,08/2017,8,2017,Cora Gonzalez,Cecilia Pichette
11344058,9327139,160091,0,732897,1504720262,2017-09-06 17:51:02,09/06/2017,09/2017,9,2017,Cora Gonzalez,Cecilia Pichette
14559656,6688924,713563,1,437025,1470151973,2016-08-02 15:32:53,08/02/2016,08/2016,8,2016,Maia Ballerini,Beth Wilensky
14559660,8010144,713346,1,437025,1477660076,2016-10-28 13:07:56,10/28/2016,10/2016,10,2016,Kevin Gaboury,Beth Wilensky
14559663,13612952,712788,1,437025,1509347011,2017-10-30 07:03:31,10/30/2017,10/2017,10,2017,Creola Minges,Beth Wilensky
14559664,13368075,714659,1,437025,1507965083,2017-10-14 07:11:23,10/14/2017,10/2017,10,2017,Allie Fowler,Beth Wilensky
14559673,13971273,720733,1,437025,1511369574,2017-11-22 16:52:54,11/22/2017,11/2017,11,2017,Lulu Franklin,Beth Wilensky
14559698,8145614,1172172,0,437025,1495561862,2017-05-23 17:51:02,05/23/2017,05/2017,5,2017,Angelic Graetz,Beth Wilensky
14559699,8313182,1172172,0,437025,1496857862,2017-06-07 17:51:02,06/07/2017,06/2017,6,2017,Angelic Graetz,Beth Wilensky
14803101,8593472,713563,1,758683,1480971988,2016-12-05 21:06:28,12/05/2016,12/2016,12,2016,Maia Ballerini,Anjelica Hoger
14803102,6857698,713725,1,758683,1471110340,2016-08-13 17:45:40,08/13/2016,08/2016,8,2016,Palmer Kilborne,Anjelica Hoger
14803103,9253691,713052,0,758683,1504150988,2017-08-31 03:43:08,08/31/2017,08/2017,8,2017,Shane Mcconchie,Anjelica Hoger
14803105,8238914,715546,0,758683,1496288415,2017-06-01 03:40:15,06/01/2017,06/2017,6,2017,Ardith Coressel,Anjelica Hoger
14803130,8067666,1172172,0,758683,1494957062,2017-05-16 17:51:02,05/16/2017,05/2017,5,2017,Angelic Graetz,Anjelica Hoger
14803131,8290583,1172172,0,758683,1496685062,2017-06-05 17:51:02,06/05/2017,06/2017,6,2017,Angelic Graetz,Anjelica Hoger
14803132,8313183,1172172,0,758683,1496857862,2017-06-07 17:51:02,06/07/2017,06/2017,6,2017,Angelic Graetz,Anjelica Hoger
14803133,8958491,1172172,0,758683,1501869062,2017-08-04 17:51:02,08/04/2017,08/2017,8,2017,Angelic Graetz,Anjelica Hoger
14803134,8969399,1172172,0,758683,1501955462,2017-08-05 17:51:02,08/05/2017,08/2017,8,2017,Angelic Graetz,Anjelica Hoger
19319660,5841154,1376868,0,1172172,1477660449,2016-10-28 13:14:09,10/28/2016,10/2016,10,2016,Timothy Gibson,Angelic Graetz
19319661,6327185,292073,0,1172172,1481443655,2016-12-11 08:07:35,12/11/2016,12/2016,12,2016,Wilhelmina Nybo,Angelic Graetz
19319667,10829177,714666,1,1172172,1493626840,2017-05-01 08:20:40,05/01/2017,05/2017,5,2017,Thomas Cannon,Angelic Graetz
19319669,13642961,715495,1,1172172,1509513817,2017-11-01 05:23:37,11/01/2017,11/2017,11,2017,Clayton Craig,Angelic Graetz
19319671,8541077,711487,1,1172172,1480676624,2016-12-02 11:03:44,12/02/2016,12/2016,12,2016,Jeffrey Patterson,Angelic Graetz
19319672,5122549,716305,0,1172172,1472053949,2016-08-24 15:52:29,08/24/2016,08/2016,8,2016,Micheal Balden,Angelic Graetz
19319675,7041414,718512,0,1172172,1486989117,2017-02-13 12:31:57,02/13/2017,02/2017,2,2017,Keila Barera,Angelic Graetz
19319709,4521405,1371959,0,1172172,1467356402,2016-07-01 07:00:02,07/01/2016,07/2016,7,2016,Zachary Hampton,Angelic Graetz
19319716,7021629,437025,0,1172172,1486835462,2017-02-11 17:51:02,02/11/2017,02/2017,2,2017,Beth Wilensky,Angelic Graetz
19319717,8022902,437025,0,1172172,1494611462,2017-05-12 17:51:02,05/12/2017,05/2017,5,2017,Beth Wilensky,Angelic Graetz
19319718,8033971,437025,0,1172172,1494697862,2017-05-13 17:51:02,05/13/2017,05/2017,5,2017,Beth Wilensky,Angelic Graetz
19319719,8256867,437025,0,1172172,1496425862,2017-06-02 17:51:02,06/02/2017,06/2017,6,2017,Beth Wilensky,Angelic Graetz
