,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,Source_Names,Destination_Names
3293122,8210269.0,720233,emails,711080,1478795491,2016-11-10 16:31:31,11/10/2016,11/2016,11,2016,Alpha Chessor,Lourdes Forsting
4942961,8293458.0,714757,emails,720233,1479272075,2016-11-16 04:54:35,11/16/2016,11/2016,11,2016,Katie Larson,Alpha Chessor
4238069,6061068.0,720233,calls,708421,1479378573,2016-11-17 10:29:33,11/17/2016,11/2016,11,2016,Alpha Chessor,Sophie Kelly
14451697,8399740.0,720233,emails,706208,1479872457,2016-11-23 03:40:57,11/23/2016,11/2016,11,2016,Alpha Chessor,Myrtle Simpson
4943104,6153255.0,722917,calls,720233,1480091253,2016-11-25 16:27:33,11/25/2016,11/2016,11,2016,Alice Floyd,Alpha Chessor
2796970,6159870.0,802384,calls,453567,1480142872,2016-11-26 06:47:52,11/26/2016,11/2016,11,2016,Aaron Harper,Daphne Cassar
4943067,6169819.0,707287,calls,720233,1480221700,2016-11-27 04:41:40,11/27/2016,11/2016,11,2016,Delpha Narcisse,Alpha Chessor
4943073,8507143.0,703933,emails,720233,1480482700,2016-11-30 05:11:40,11/30/2016,11/2016,11,2016,Alva Carrell,Alpha Chessor
3166780,6206975.0,1448580,calls,712194,1480509027,2016-11-30 12:30:27,11/30/2016,11/2016,11,2016,Reagan Engard,Robert Barber
22540045,8552080.0,743503,emails,802384,1480736829,2016-12-03 03:47:09,12/03/2016,12/2016,12,2016,Louisa Kelley,Aaron Harper
1187271,8708013.0,1448580,emails,713687,1481620721,2016-12-13 09:18:41,12/13/2016,12/2016,12,2016,Reagan Engard,Marissa Harryman
9311923,8713923.0,178026,emails,700666,1481654026,2016-12-13 18:33:46,12/13/2016,12/2016,12,2016,Lillia Steffensmeier,Sarah Hunt
4942998,6359421.0,711600,calls,720233,1481692585,2016-12-14 05:16:25,12/14/2016,12/2016,12,2016,Hilda Willis,Alpha Chessor
9341115,8731923.0,178026,emails,717119,1481755002,2016-12-14 22:36:42,12/14/2016,12/2016,12,2016,Lillia Steffensmeier,Lida Gallman
9447753,6373905.0,720233,calls,727495,1481804552,2016-12-15 12:22:32,12/15/2016,12/2016,12,2016,Alpha Chessor,Sam Burns
4943010,8764792.0,711589,emails,720233,1481940806,2016-12-17 02:13:26,12/17/2016,12/2016,12,2016,Leda Brient,Alpha Chessor
16854031,6393288.0,712646,calls,178026,1481955796,2016-12-17 06:23:16,12/17/2016,12/2016,12,2016,Dalene Govert,Lillia Steffensmeier
2814851,8848034.0,720233,emails,711667,1482413330,2016-12-22 13:28:50,12/22/2016,12/2016,12,2016,Alpha Chessor,Ann Richardson
15559687,6491126.0,720233,calls,696402,1482720707,2016-12-26 02:51:47,12/26/2016,12/2016,12,2016,Alpha Chessor,Buck Opalka
4943059,6491139.0,708896,calls,720233,1482720742,2016-12-26 02:52:22,12/26/2016,12/2016,12,2016,Louisa Torres,Alpha Chessor
4943037,6502925.0,718213,calls,720233,1482812066,2016-12-27 04:14:26,12/27/2016,12/2016,12,2016,Jazmine Artiles,Alpha Chessor
4004432,6550164.0,720233,calls,716452,1483175889,2016-12-31 09:18:09,12/31/2016,12/2016,12,2016,Alpha Chessor,Lottie Bell
851598,9030741.0,720233,emails,713736,1483446602,2017-01-03 12:30:02,01/03/2017,01/2017,1,2017,Alpha Chessor,Harvey Turner
4943136,6585649.0,701769,calls,720233,1483450318,2017-01-03 13:31:58,01/03/2017,01/2017,1,2017,Loretta Francis,Alpha Chessor
4942955,6682408.0,713583,calls,720233,1484200926,2017-01-12 06:02:06,01/12/2017,01/2017,1,2017,Victoria Aguilar,Alpha Chessor
4942948,6744234.0,712900,calls,720233,1484681380,2017-01-17 19:29:40,01/17/2017,01/2017,1,2017,Carl Wms,Alpha Chessor
13576863,9254003.0,720233,emails,683827,1484716498,2017-01-18 05:14:58,01/18/2017,01/2017,1,2017,Alpha Chessor,Enola Shadden
361345,6757865.0,720233,calls,713474,1484787579,2017-01-19 00:59:39,01/19/2017,01/2017,1,2017,Alpha Chessor,Sachiko Sanabria
3111505,9345069.0,720233,emails,710990,1485235627,2017-01-24 05:27:07,01/24/2017,01/2017,1,2017,Alpha Chessor,Silvana Wines
7357801,9382235.0,720233,emails,690675,1485444890,2017-01-26 15:34:50,01/26/2017,01/2017,1,2017,Alpha Chessor,Harriet Gutierrez
4943113,6878590.0,724898,calls,720233,1485729672,2017-01-29 22:41:12,01/29/2017,01/2017,1,2017,Frances Rightley,Alpha Chessor
4136995,9432638.0,720233,emails,712054,1485729687,2017-01-29 22:41:27,01/29/2017,01/2017,1,2017,Alpha Chessor,Nicholas Norman
2693040,9479774.0,802384,emails,714711,1485998279,2017-02-02 01:17:59,02/02/2017,02/2017,2,2017,Aaron Harper,Jeffry Scheiblich
21578114,6970150.0,711369,calls,1448580,1486440594,2017-02-07 04:09:54,02/07/2017,02/2017,2,2017,Minerva Miller,Reagan Engard
4942943,6980049.0,712975,calls,720233,1486516629,2017-02-08 01:17:09,02/08/2017,02/2017,2,2017,Denis Ewell,Alpha Chessor
22540033,9601213.0,1909365,emails,802384,1486684033,2017-02-09 23:47:13,02/09/2017,02/2017,2,2017,Jacklyn Mashek,Aaron Harper
16496954,7072226.0,178026,calls,778097,1487226130,2017-02-16 06:22:10,02/16/2017,02/2017,2,2017,Lillia Steffensmeier,Billye Toyn
4060335,9735450.0,720233,emails,712222,1487442467,2017-02-18 18:27:47,02/18/2017,02/2017,2,2017,Alpha Chessor,Jaye Stonebraker
4463809,9762272.0,802384,emails,710492,1487595497,2017-02-20 12:58:17,02/20/2017,02/2017,2,2017,Aaron Harper,Georgine Carosiello
4942935,7156310.0,714152,calls,720233,1487882921,2017-02-23 20:48:41,02/23/2017,02/2017,2,2017,Sean McDonald,Alpha Chessor
4943099,9856114.0,722431,emails,720233,1488124829,2017-02-26 16:00:29,02/26/2017,02/2017,2,2017,Makeda Seidenbecker,Alpha Chessor
4942922,9871758.0,713619,emails,720233,1488213869,2017-02-27 16:44:29,02/27/2017,02/2017,2,2017,Bulah Breheny,Alpha Chessor
13980193,9931376.0,720233,emails,737837,1488548514,2017-03-03 13:41:54,03/03/2017,03/2017,3,2017,Alpha Chessor,Randy Cross
4942947,7264821.0,712919,calls,720233,1488723556,2017-03-05 14:19:16,03/05/2017,03/2017,3,2017,Jesus Myers,Alpha Chessor
54457,10111018.0,720233,emails,713701,1489569314,2017-03-15 09:15:14,03/15/2017,03/2017,3,2017,Alpha Chessor,Jane Tyler
8287983,7374003.0,720233,calls,718958,1489571281,2017-03-15 09:48:01,03/15/2017,03/2017,3,2017,Alpha Chessor,Elnora Newton
6393477,7380063.0,720233,calls,715768,1489617521,2017-03-15 22:38:41,03/15/2017,03/2017,3,2017,Alpha Chessor,Evan Hayes
4943087,7385610.0,719799,calls,720233,1489658919,2017-03-16 10:08:39,03/16/2017,03/2017,3,2017,Raina Lofts,Alpha Chessor
2168088,7419768.0,178026,calls,714597,1489923105,2017-03-19 11:31:45,03/19/2017,03/2017,3,2017,Lillia Steffensmeier,Telma Coraham
776055,7565877.0,802384,calls,713389,1491054615,2017-04-01 13:50:15,04/01/2017,04/2017,4,2017,Aaron Harper,Herman Delaware
4943047,10538574.0,713473,emails,720233,1491984794,2017-04-12 08:13:14,04/12/2017,04/2017,4,2017,Glenn Elliott,Alpha Chessor
11395662,10573465.0,720233,emails,709363,1492181719,2017-04-14 14:55:19,04/14/2017,04/2017,4,2017,Alpha Chessor,Lilly Jenkins
3894705,7766467.0,720233,calls,712356,1492614238,2017-04-19 15:03:58,04/19/2017,04/2017,4,2017,Alpha Chessor,Luke Ramos
4943075,10669450.0,705805,emails,720233,1492724651,2017-04-20 21:44:11,04/20/2017,04/2017,4,2017,Frances Higgins,Alpha Chessor
11740912,10693093.0,178026,emails,708611,1492858528,2017-04-22 10:55:28,04/22/2017,04/2017,4,2017,Lillia Steffensmeier,Jenine Edenfield
4942945,10699920.0,713045,emails,720233,1492897134,2017-04-22 21:38:54,04/22/2017,04/2017,4,2017,Bella Forrer,Alpha Chessor
21578116,10723028.0,716462,emails,1448580,1493027287,2017-04-24 09:48:07,04/24/2017,04/2017,4,2017,Alma Johnson,Reagan Engard
4504005,10743832.0,178026,emails,718462,1493144561,2017-04-25 18:22:41,04/25/2017,04/2017,4,2017,Lillia Steffensmeier,Zulema Ohare
22540032,7858277.0,714896,calls,802384,1493324256,2017-04-27 20:17:36,04/27/2017,04/2017,4,2017,Dennise Atherholt,Aaron Harper
16854030,10825398.0,714310,emails,178026,1493605600,2017-05-01 02:26:40,05/01/2017,05/2017,5,2017,Mabelle Morgan,Lillia Steffensmeier
23964902,7977073.0,178026,calls,1609888,1494250500,2017-05-08 13:35:00,05/08/2017,05/2017,5,2017,Lillia Steffensmeier,Nell Dixon
16854074,7977074.0,1609888,calls,178026,1494250500,2017-05-08 13:35:00,05/08/2017,05/2017,5,2017,Nell Dixon,Lillia Steffensmeier
16854075,7987913.0,1609888,calls,178026,1494336900,2017-05-09 13:35:00,05/09/2017,05/2017,5,2017,Nell Dixon,Lillia Steffensmeier
11740612,10991658.0,720233,emails,708611,1494547435,2017-05-12 00:03:55,05/12/2017,05/2017,5,2017,Alpha Chessor,Jenine Edenfield
23964903,8054368.0,178026,calls,1609888,1494855300,2017-05-15 13:35:00,05/15/2017,05/2017,5,2017,Lillia Steffensmeier,Nell Dixon
4942941,8055406.0,713716,calls,720233,1494863203,2017-05-15 15:46:43,05/15/2017,05/2017,5,2017,Gwyneth Ora,Alpha Chessor
1455268,11125140.0,720233,emails,714132,1495301644,2017-05-20 17:34:04,05/20/2017,05/2017,5,2017,Alpha Chessor,Miguel Brooks
23964904,8132498.0,178026,calls,1609888,1495460100,2017-05-22 13:35:00,05/22/2017,05/2017,5,2017,Lillia Steffensmeier,Nell Dixon
4942981,8145578.0,713576,calls,720233,1495561698,2017-05-23 17:48:18,05/23/2017,05/2017,5,2017,Blake Soto,Alpha Chessor
16854076,8154810.0,1609888,calls,178026,1495632900,2017-05-24 13:35:00,05/24/2017,05/2017,5,2017,Nell Dixon,Lillia Steffensmeier
4264049,8158652.0,720233,calls,718810,1495662649,2017-05-24 21:50:49,05/24/2017,05/2017,5,2017,Alpha Chessor,Corey Kantarian
11467061,11196520.0,720233,emails,709854,1495703020,2017-05-25 09:03:40,05/25/2017,05/2017,5,2017,Alpha Chessor,Blake Sandoval
2000635,11455197.0,720233,emails,713028,1497162618,2017-06-11 06:30:18,06/11/2017,06/2017,6,2017,Alpha Chessor,Callie Glover
4942953,11455202.0,712597,emails,720233,1497162651,2017-06-11 06:30:51,06/11/2017,06/2017,6,2017,Gwenn Poinsette,Alpha Chessor
4830266,11465245.0,720233,emails,715889,1497220162,2017-06-11 22:29:22,06/11/2017,06/2017,6,2017,Alpha Chessor,Eileen Prendergast
4942976,11511193.0,715100,emails,720233,1497480966,2017-06-14 22:56:06,06/14/2017,06/2017,6,2017,Buster Schrauder,Alpha Chessor
1310351,11512180.0,720233,emails,714205,1497486336,2017-06-15 00:25:36,06/15/2017,06/2017,6,2017,Alpha Chessor,Lela Soto
947580,8489289.0,720233,calls,713357,1498227063,2017-06-23 14:11:03,06/23/2017,06/2017,6,2017,Alpha Chessor,Santiago Batten
1533478,8560574.0,720233,calls,713909,1498785176,2017-06-30 01:12:56,06/30/2017,06/2017,6,2017,Alpha Chessor,Eula Screen
4942917,11744327.0,713767,emails,720233,1498801178,2017-06-30 05:39:38,06/30/2017,06/2017,6,2017,Yulanda Maymon,Alpha Chessor
4942946,11847090.0,712896,emails,720233,1499381692,2017-07-06 22:54:52,07/06/2017,07/2017,7,2017,Harry Collins,Alpha Chessor
5860241,8662732.0,720233,calls,708642,1499574736,2017-07-09 04:32:16,07/09/2017,07/2017,7,2017,Alpha Chessor,Kristina Rencher
4942960,11977856.0,714752,emails,720233,1500116157,2017-07-15 10:55:57,07/15/2017,07/2017,7,2017,Margot Geno,Alpha Chessor
1232737,8762301.0,720233,calls,713284,1500346486,2017-07-18 02:54:46,07/18/2017,07/2017,7,2017,Alpha Chessor,Hortensia Dahme
5667376,8832196.0,720233,calls,270202,1500887838,2017-07-24 09:17:18,07/24/2017,07/2017,7,2017,Alpha Chessor,Hermine Danas
4942957,12114552.0,712673,emails,720233,1500887884,2017-07-24 09:18:04,07/24/2017,07/2017,7,2017,Josephine Lawson,Alpha Chessor
7678151,8859627.0,720233,calls,686102,1501099379,2017-07-26 20:02:59,07/26/2017,07/2017,7,2017,Alpha Chessor,Catherine Hill
4942997,12151939.0,711437,emails,720233,1501099381,2017-07-26 20:03:01,07/26/2017,07/2017,7,2017,Tiffiny Cubas,Alpha Chessor
10354386,8872832.0,720233,calls,705328,1501202722,2017-07-28 00:45:22,07/28/2017,07/2017,7,2017,Alpha Chessor,Magaret Stubbert
4943063,8872834.0,708290,calls,720233,1501202734,2017-07-28 00:45:34,07/28/2017,07/2017,7,2017,Craig Kennedy,Alpha Chessor
16854029,12225877.0,713444,emails,178026,1501517298,2017-07-31 16:08:18,07/31/2017,07/2017,7,2017,Laurice Eichenberg,Lillia Steffensmeier
4942993,8951916.0,711606,calls,720233,1501818943,2017-08-04 03:55:43,08/04/2017,08/2017,8,2017,Kimberley Rigel,Alpha Chessor
4943029,9001355.0,717634,calls,720233,1502202698,2017-08-08 14:31:38,08/08/2017,08/2017,8,2017,Wendolyn Anastos,Alpha Chessor
21578115,12502168.0,711303,emails,1448580,1503078983,2017-08-18 17:56:23,08/18/2017,08/2017,8,2017,Donetta Eshleman,Reagan Engard
23964905,9134774.0,178026,calls,1609888,1503236100,2017-08-20 13:35:00,08/20/2017,08/2017,8,2017,Lillia Steffensmeier,Nell Dixon
3890045,12553489.0,720233,emails,712263,1503368431,2017-08-22 02:20:31,08/22/2017,08/2017,8,2017,Alpha Chessor,Cherri Getts
22540050,9157368.0,178026,calls,802384,1503408900,2017-08-22 13:35:00,08/22/2017,08/2017,8,2017,Lillia Steffensmeier,Aaron Harper
4942996,12623364.0,711458,emails,720233,1503760273,2017-08-26 15:11:13,08/26/2017,08/2017,8,2017,Valeria Kernen,Alpha Chessor
11119518,12626249.0,720233,emails,705948,1503776472,2017-08-26 19:41:12,08/26/2017,08/2017,8,2017,Alpha Chessor,Patricia Kinser
4943316,9213410.0,178026,calls,720233,1503840900,2017-08-27 13:35:00,08/27/2017,08/2017,8,2017,Lillia Steffensmeier,Alpha Chessor
16854098,9213411.0,802384,calls,178026,1503840900,2017-08-27 13:35:00,08/27/2017,08/2017,8,2017,Aaron Harper,Lillia Steffensmeier
21578136,9213412.0,802384,calls,1448580,1503840900,2017-08-27 13:35:00,08/27/2017,08/2017,8,2017,Aaron Harper,Reagan Engard
4943317,9224555.0,178026,calls,720233,1503927300,2017-08-28 13:35:00,08/28/2017,08/2017,8,2017,Lillia Steffensmeier,Alpha Chessor
9050066,12664549.0,720233,emails,707540,1503990678,2017-08-29 07:11:18,08/29/2017,08/2017,8,2017,Alpha Chessor,Andrew Washington
4943141,12698968.0,700666,emails,720233,1504186124,2017-08-31 13:28:44,08/31/2017,08/2017,8,2017,Sarah Hunt,Alpha Chessor
22540051,9269309.0,178026,calls,802384,1504272900,2017-09-01 13:35:00,09/01/2017,09/2017,9,2017,Lillia Steffensmeier,Aaron Harper
21578125,9302888.0,178026,calls,1448580,1504532100,2017-09-04 13:35:00,09/04/2017,09/2017,9,2017,Lillia Steffensmeier,Reagan Engard
16854069,9302889.0,1448580,calls,178026,1504532100,2017-09-04 13:35:00,09/04/2017,09/2017,9,2017,Reagan Engard,Lillia Steffensmeier
16854070,9314131.0,1448580,calls,178026,1504618500,2017-09-05 13:35:00,09/05/2017,09/2017,9,2017,Reagan Engard,Lillia Steffensmeier
21578126,9314130.0,178026,calls,1448580,1504618500,2017-09-05 13:35:00,09/05/2017,09/2017,9,2017,Lillia Steffensmeier,Reagan Engard
16854099,9325171.0,802384,calls,178026,1504704900,2017-09-06 13:35:00,09/06/2017,09/2017,9,2017,Aaron Harper,Lillia Steffensmeier
25094980,9358192.0,178026,calls,426067,1504964100,2017-09-09 13:35:00,09/09/2017,09/2017,9,2017,Lillia Steffensmeier,Huong Lipari
25094981,9369503.0,178026,calls,426067,1505050500,2017-09-10 13:35:00,09/10/2017,09/2017,9,2017,Lillia Steffensmeier,Huong Lipari
1820289,12862347.0,802384,emails,714666,1505109739,2017-09-11 06:02:19,09/11/2017,09/2017,9,2017,Aaron Harper,Thomas Cannon
16854100,9403150.0,802384,calls,178026,1505309700,2017-09-13 13:35:00,09/13/2017,09/2017,9,2017,Aaron Harper,Lillia Steffensmeier
4942999,12938552.0,711415,emails,720233,1505537674,2017-09-16 04:54:34,09/16/2017,09/2017,9,2017,Leonard Briggs,Alpha Chessor
4943044,9448620.0,718497,calls,720233,1505660278,2017-09-17 14:57:58,09/17/2017,09/2017,9,2017,Erna Frelow,Alpha Chessor
13105039,13001043.0,720233,emails,720343,1505890582,2017-09-20 06:56:22,09/20/2017,09/2017,9,2017,Alpha Chessor,Martine Kidd
4943152,9539656.0,698223,calls,720233,1506365618,2017-09-25 18:53:38,09/25/2017,09/2017,9,2017,Philip Gill,Alpha Chessor
4943148,13118282.0,699305,emails,720233,1506550210,2017-09-27 22:10:10,09/27/2017,09/2017,9,2017,Rudy Cunnane,Alpha Chessor
25094982,9592788.0,178026,calls,426067,1506778500,2017-09-30 13:35:00,09/30/2017,09/2017,9,2017,Lillia Steffensmeier,Huong Lipari
15099904,9625032.0,720233,calls,721194,1507025265,2017-10-03 10:07:45,10/03/2017,10/2017,10,2017,Alpha Chessor,Markus Deroberts
25094983,9626591.0,178026,calls,426067,1507037700,2017-10-03 13:35:00,10/03/2017,10/2017,10,2017,Lillia Steffensmeier,Huong Lipari
711301,13210754.0,720233,emails,713743,1507075700,2017-10-04 00:08:20,10/04/2017,10/2017,10,2017,Alpha Chessor,Sherilyn Coopwood
4943019,9643775.0,715933,calls,720233,1507170767,2017-10-05 02:32:47,10/05/2017,10/2017,10,2017,Marketta Mapa,Alpha Chessor
25094984,9704248.0,178026,calls,426067,1507642500,2017-10-10 13:35:00,10/10/2017,10/2017,10,2017,Lillia Steffensmeier,Huong Lipari
4942962,13341162.0,714801,emails,720233,1507813853,2017-10-12 13:10:53,10/12/2017,10/2017,10,2017,Etta Pierce,Alpha Chessor
9437612,13341164.0,720233,emails,736284,1507813863,2017-10-12 13:11:03,10/12/2017,10/2017,10,2017,Alpha Chessor,Janette Cuny
4943212,9730630.0,737086,calls,720233,1507848951,2017-10-12 22:55:51,10/12/2017,10/2017,10,2017,Jeni Neiswender,Alpha Chessor
3496694,13395647.0,720233,emails,716757,1508118559,2017-10-16 01:49:19,10/16/2017,10/2017,10,2017,Alpha Chessor,Willie Cummings
10270132,13517143.0,720233,emails,721402,1508802973,2017-10-23 23:56:13,10/23/2017,10/2017,10,2017,Alpha Chessor,Glenn Page
21578137,9881973.0,802384,calls,1448580,1509024900,2017-10-26 13:35:00,10/26/2017,10/2017,10,2017,Aaron Harper,Reagan Engard
4943120,9910579.0,726087,calls,720233,1509248691,2017-10-29 03:44:51,10/29/2017,10/2017,10,2017,Reanna Heiman,Alpha Chessor
947581,9923658.0,720233,calls,713357,1509350902,2017-10-30 08:08:22,10/30/2017,10/2017,10,2017,Alpha Chessor,Santiago Batten
3764568,13663930.0,720233,emails,717263,1509631244,2017-11-02 14:00:44,11/02/2017,11/2017,11,2017,Alpha Chessor,Laquita Woodand
16854036,13690024.0,717973,emails,178026,1509779534,2017-11-04 07:12:14,11/04/2017,11/2017,11,2017,Mason Greene,Lillia Steffensmeier
16854071,9981998.0,1448580,calls,178026,1509802500,2017-11-04 13:35:00,11/04/2017,11/2017,11,2017,Reagan Engard,Lillia Steffensmeier
4943318,9993020.0,178026,calls,720233,1509888900,2017-11-05 13:35:00,11/05/2017,11/2017,11,2017,Lillia Steffensmeier,Alpha Chessor
5,,720233,5,2038031,1509975300,2017-11-06 13:35:00,11/06/2017,11/2017,11,2017,Alpha Chessor,Kia Halonen
16854077,10015136.0,1609888,calls,178026,1510061700,2017-11-07 13:35:00,11/07/2017,11/2017,11,2017,Nell Dixon,Lillia Steffensmeier
16854038,10015135.0,720233,calls,178026,1510061700,2017-11-07 13:35:00,11/07/2017,11/2017,11,2017,Alpha Chessor,Lillia Steffensmeier
16854078,10026199.0,1609888,calls,178026,1510148100,2017-11-08 13:35:00,11/08/2017,11/2017,11,2017,Nell Dixon,Lillia Steffensmeier
16854039,10026198.0,720233,calls,178026,1510148100,2017-11-08 13:35:00,11/08/2017,11/2017,11,2017,Alpha Chessor,Lillia Steffensmeier
