,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,Source_Names,Destination_Names
25017399,7021630.0,981745,calls,160091,1486835462,2017-02-11 17:51:02,02/11/2017,02/2017,2,2017,Prudence Rosol,Cora Gonzalez
19319716,7021629.0,437025,calls,1172172,1486835462,2017-02-11 17:51:02,02/11/2017,02/2017,2,2017,Beth Wilensky,Angelic Graetz
25017388,7021631.0,1172172,calls,160091,1486835462,2017-02-11 17:51:02,02/11/2017,02/2017,2,2017,Angelic Graetz,Cora Gonzalez
19319765,7032894.0,981745,calls,1172172,1486921862,2017-02-12 17:51:02,02/12/2017,02/2017,2,2017,Prudence Rosol,Angelic Graetz
25017400,7043829.0,981745,calls,160091,1487008262,2017-02-13 17:51:02,02/13/2017,02/2017,2,2017,Prudence Rosol,Cora Gonzalez
25097887,7121800.0,1172172,calls,981745,1487613062,2017-02-20 17:51:02,02/20/2017,02/2017,2,2017,Angelic Graetz,Prudence Rosol
19319766,7143917.0,981745,calls,1172172,1487785862,2017-02-22 17:51:02,02/22/2017,02/2017,2,2017,Prudence Rosol,Angelic Graetz
25017401,7155047.0,981745,calls,160091,1487872262,2017-02-23 17:51:02,02/23/2017,02/2017,2,2017,Prudence Rosol,Cora Gonzalez
25017389,7188241.0,1172172,calls,160091,1488131462,2017-02-26 17:51:02,02/26/2017,02/2017,2,2017,Angelic Graetz,Cora Gonzalez
25097888,7199500.0,1172172,calls,981745,1488217862,2017-02-27 17:51:02,02/27/2017,02/2017,2,2017,Angelic Graetz,Prudence Rosol
19319724,7344124.0,160091,calls,1172172,1489341062,2017-03-12 17:51:02,03/12/2017,03/2017,3,2017,Cora Gonzalez,Angelic Graetz
19319767,7366519.0,981745,calls,1172172,1489513862,2017-03-14 17:51:02,03/14/2017,03/2017,3,2017,Prudence Rosol,Angelic Graetz
19319725,7366518.0,160091,calls,1172172,1489513862,2017-03-14 17:51:02,03/14/2017,03/2017,3,2017,Cora Gonzalez,Angelic Graetz
19319768,7377863.0,981745,calls,1172172,1489600262,2017-03-15 17:51:02,03/15/2017,03/2017,3,2017,Prudence Rosol,Angelic Graetz
19319769,7389276.0,981745,calls,1172172,1489686662,2017-03-16 17:51:02,03/16/2017,03/2017,3,2017,Prudence Rosol,Angelic Graetz
19319726,7590086.0,160091,calls,1172172,1491241862,2017-04-03 17:51:02,04/03/2017,04/2017,4,2017,Cora Gonzalez,Angelic Graetz
19319727,7601217.0,160091,calls,1172172,1491328262,2017-04-04 17:51:02,04/04/2017,04/2017,4,2017,Cora Gonzalez,Angelic Graetz
19319728,7623595.0,160091,calls,1172172,1491501062,2017-04-06 17:51:02,04/06/2017,04/2017,4,2017,Cora Gonzalez,Angelic Graetz
19319717,8022902.0,437025,calls,1172172,1494611462,2017-05-12 17:51:02,05/12/2017,05/2017,5,2017,Beth Wilensky,Angelic Graetz
19319718,8033971.0,437025,calls,1172172,1494697862,2017-05-13 17:51:02,05/13/2017,05/2017,5,2017,Beth Wilensky,Angelic Graetz
19319731,8056345.0,758683,calls,1172172,1494870662,2017-05-15 17:51:02,05/15/2017,05/2017,5,2017,Anjelica Hoger,Angelic Graetz
14803130,8067666.0,1172172,calls,758683,1494957062,2017-05-16 17:51:02,05/16/2017,05/2017,5,2017,Angelic Graetz,Anjelica Hoger
19319729,8112153.0,160091,calls,1172172,1495302662,2017-05-20 17:51:02,05/20/2017,05/2017,5,2017,Cora Gonzalez,Angelic Graetz
25017390,8112154.0,1172172,calls,160091,1495302662,2017-05-20 17:51:02,05/20/2017,05/2017,5,2017,Angelic Graetz,Cora Gonzalez
19319730,8134438.0,160091,calls,1172172,1495475462,2017-05-22 17:51:02,05/22/2017,05/2017,5,2017,Cora Gonzalez,Angelic Graetz
25017391,8134439.0,1172172,calls,160091,1495475462,2017-05-22 17:51:02,05/22/2017,05/2017,5,2017,Angelic Graetz,Cora Gonzalez
25017392,8145613.0,1172172,calls,160091,1495561862,2017-05-23 17:51:02,05/23/2017,05/2017,5,2017,Angelic Graetz,Cora Gonzalez
14559698,8145614.0,1172172,calls,437025,1495561862,2017-05-23 17:51:02,05/23/2017,05/2017,5,2017,Angelic Graetz,Beth Wilensky
19319732,8167695.0,758683,calls,1172172,1495734662,2017-05-25 17:51:02,05/25/2017,05/2017,5,2017,Anjelica Hoger,Angelic Graetz
19319733,8178959.0,758683,calls,1172172,1495821062,2017-05-26 17:51:02,05/26/2017,05/2017,5,2017,Anjelica Hoger,Angelic Graetz
25017393,8223056.0,1172172,calls,160091,1496166662,2017-05-30 17:51:02,05/30/2017,05/2017,5,2017,Angelic Graetz,Cora Gonzalez
25017394,8234495.0,1172172,calls,160091,1496253062,2017-05-31 17:51:02,05/31/2017,05/2017,5,2017,Angelic Graetz,Cora Gonzalez
19319719,8256867.0,437025,calls,1172172,1496425862,2017-06-02 17:51:02,06/02/2017,06/2017,6,2017,Beth Wilensky,Angelic Graetz
19319720,8268151.0,437025,calls,1172172,1496512262,2017-06-03 17:51:02,06/03/2017,06/2017,6,2017,Beth Wilensky,Angelic Graetz
19319721,8279451.0,437025,calls,1172172,1496598662,2017-06-04 17:51:02,06/04/2017,06/2017,6,2017,Beth Wilensky,Angelic Graetz
