,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,Source_Names,Destination_Names
16976178,3682397.0,320914,emails,684131,1452989619,2016-01-17 00:13:39,01/17/2016,01/2016,1,2016,Cora Cross,Marty Klemetson
2465604,2687092.0,764700,calls,320914,1452991182,2016-01-17 00:39:42,01/17/2016,01/2016,1,2016,Shane Payne,Cora Cross
2464104,3684125.0,717873,emails,320914,1452999135,2016-01-17 02:52:15,01/17/2016,01/2016,1,2016,Lillian Glover,Cora Cross
7287099,3685732.0,320914,emails,705864,1453008946,2016-01-17 05:35:46,01/17/2016,01/2016,1,2016,Cora Cross,Johnny Ramsey
2465378,3690317.0,671243,emails,320914,1453035480,2016-01-17 12:58:00,01/17/2016,01/2016,1,2016,Vannesa Wayde,Cora Cross
18791306,2692667.0,320914,calls,735710,1453035540,2016-01-17 12:59:00,01/17/2016,01/2016,1,2016,Cora Cross,Moon Alverson
2463774,3695350.0,712753,emails,320914,1453064948,2016-01-17 21:09:08,01/17/2016,01/2016,1,2016,Jestine Stiggers,Cora Cross
3145141,2696301.0,320914,calls,714036,1453065002,2016-01-17 21:10:02,01/17/2016,01/2016,1,2016,Cora Cross,May Bowen
2465691,2696646.0,778254,calls,320914,1453067850,2016-01-17 21:57:30,01/17/2016,01/2016,1,2016,Clara Brooks,Cora Cross
22191362,3695830.0,320914,emails,784801,1453067869,2016-01-17 21:57:49,01/17/2016,01/2016,1,2016,Cora Cross,Nicholas Perry
2464758,3699262.0,695628,emails,320914,1453088209,2016-01-18 03:36:49,01/18/2016,01/2016,1,2016,Dylan Ross,Cora Cross
10505477,3699273.0,320914,emails,677581,1453088286,2016-01-18 03:38:06,01/18/2016,01/2016,1,2016,Cora Cross,Magaret Feger
2464508,2705913.0,724829,calls,320914,1453141492,2016-01-18 18:24:52,01/18/2016,01/2016,1,2016,Susan Newitt,Cora Cross
8855111,2705919.0,320914,calls,749126,1453141545,2016-01-18 18:25:45,01/18/2016,01/2016,1,2016,Cora Cross,Jene Kornblum
2464843,3712438.0,691970,emails,320914,1453164495,2016-01-19 00:48:15,01/19/2016,01/2016,1,2016,Lillian Warner,Cora Cross
3329936,3713598.0,320914,emails,715527,1453171349,2016-01-19 02:42:29,01/19/2016,01/2016,1,2016,Cora Cross,Concetta Kagle
4251360,3719169.0,320914,emails,710738,1453203734,2016-01-19 11:42:14,01/19/2016,01/2016,1,2016,Cora Cross,Grace Parker
7953676,3719175.0,320914,emails,668941,1453203818,2016-01-19 11:43:38,01/19/2016,01/2016,1,2016,Cora Cross,Gail Hails
